#{"t_start": 1776916360.9957356, "env_id": "None"}
r,l,t
16.106158,23,8648.269684
100.0,1,8650.462874
95.111781,23,8675.769174
100.0,1,8677.969714
68.265227,23,8703.370135
100.0,1,8705.573366
79.819349,23,8730.870123
100.0,1,8733.17953
66.985505,23,8758.432032
100.0,1,8760.633856
84.041644,23,8786.043757
100.0,1,8788.292297
104.703946,23,8813.689118
100.0,1,8815.942658
-10.02638,23,8841.251455
100.0,1,8843.509705
92.109046,23,8868.850444
100.0,1,8871.100224
179.077503,22,8895.969954
43.619678,23,8921.369264
100.0,1,8923.619474
56.898794,23,8948.979568
100.0,1,8951.234608
21.021656,23,8976.629421
100.0,1,8978.833035
94.409514,23,9004.199048
100.0,1,9006.449743
56.644518,23,9031.900015
100.0,1,9034.304414
179.490905,22,9058.549476
9.304327,23,9083.909487
100.0,1,9086.163185
-11.875881,23,9111.560179
100.0,1,9113.812696
73.624661,23,9139.219843
100.0,1,9141.471119
-12.015177,23,9166.831735
100.0,1,9169.079103
179.645712,21,9192.8948
179.484263,22,9217.24263
81.295752,23,9242.60999
100.0,1,9244.809732
57.764235,23,9270.159403
100.0,1,9272.409715
64.077659,23,9297.809669
100.0,1,9300.060483
65.046774,23,9325.370941
100.0,1,9327.62429
42.33837,24,9353.83015
100.0,1,9356.03089
58.51134,23,9381.430203
100.0,1,9383.681683
101.028174,23,9408.990829
100.0,1,9411.241196
74.155143,23,9436.642029
100.0,1,9438.88931
80.818269,23,9464.249863
100.0,1,9466.50123
105.412371,23,9492.459384
100.0,1,9494.709095
26.351032,23,9520.070323
100.0,1,9522.321289
85.867284,23,9547.819687
100.0,1,9550.069771
16.319007,23,9575.434366
100.0,1,9577.682128
65.124368,23,9602.980355
100.0,1,9605.291005
88.664477,23,9630.490959
100.0,1,9632.742118
79.225564,23,9658.000959
100.0,1,9660.255427
85.75351,23,9685.751239
100.0,1,9688.000679
96.814755,23,9713.409393
100.0,1,9715.659804
73.327506,23,9741.02094
100.0,1,9743.271786
62.167879,23,9769.180322
100.0,1,9771.429683
82.768951,23,9796.790073
100.0,1,9799.04015
84.035484,23,9824.39108
100.0,1,9826.640712
67.334373,23,9852.051167
100.0,1,9854.300192
64.141673,23,9879.610041
100.0,1,9881.814607
76.906234,23,9907.171431
100.0,1,9909.420277
84.224931,23,9934.680066
100.0,1,9936.934858
53.39264,23,9962.280333
100.0,1,9964.540318
